#,"In the past 12 months, how often have you been exposed to loud sounds, even if they only lasted a short time?",On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),At work,While trying to focus (e.g. studying),When trying to sleep,Other,Have you ever noticed any symptoms after being exposed to loud sounds?,"Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,(Temporary) hearing loss or muffled hearing,Headache,Dizziness,Sleep problems,Fatigue,Other,What are you willing to pay for a *simple *pair of earplugs to help protect your hearing?,What are you willing to pay for earplugs *with* advanced technology to help protect your hearing?,"Before we get started, a quick explanation of the term *sound attenuation* (_geluidsdemping (NL)_) to avoid confusion.
3u30whopdi8u9wikq3u30whoyj5udr4f,Daily,On public transport or on a plane,In traffic,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,When trying to sleep,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,,Headache,,,,,€60,€120,Complete,Option 2,Option 1,Option 2,Rarely,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,,,,,,,,I do not feel it is necessary,,,,,It is uncomfortable,It makes communication more difficult,,,,,Difficulty communicating,It is uncomfortable,,,,Reduced sound quality,,,,,,,,,,,,,,Option 1,Option 2,Option 2,,Automatic hearing screening,,,Better sound quality,More comfort,,,,,,,,Option 1,Option 2,"C,D,A,B",Very ,Not at all,Very ,Somewhat,Wear hearing protection more often,,Get a hearing test,,,,,,,19,kinderopvang,Vocational education (MBO),Female,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-30 13:29:24,,2026-01-30 13:40:16,77c98652f8,,
iddqazzxppwnmcyiddq6cdzmayo4b7j3,Weekly,On public transport or on a plane,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€90,Complete,Option 2,Option 1,Option 1,Mostly,Disposable foam earplugs,,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,,,,,At work (noise exposure),While trying to focus (e.g. studying),,,I do not feel it is necessary,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 1,Option 2,Option 2,,,,Still being able to understand speech,,,,,Reminders via phone/app,Peer pressure to wear hearing protection,,,,Option 2,Option 1,"C,A,D,B",A little,A lot,Very ,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,32,entrepreneur Ditto,PhD / Doctorate or higher,Male,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-30 12:41:02,,2026-01-30 12:52:11,77c98652f8,,
q1stxhpw61j0gok3063suhq1stxho7c9,Multiple times a week,On public transport or on a plane,In traffic,At the cinema or theatre,,,Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,When trying to sleep,Relaxing at home,"Yes, mild symptoms (lasting less than 24 hours)",,,,Sensitivity to sound,,,,,,Stress,€30,€60,Complete,Option 3,Option 2,Option 1,Mostly,,Reusable  earplugs,Earmuffs,,,,On public transport or on a plane,,,,,,,,,While trying to focus (e.g. studying),When trying to sleep,Vacuum,,,I forget to bring it with me,,,,It makes communication more difficult,,I will wait until the sound is annoying,,,Difficulty communicating,,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 3,Option 3,,Automatic hearing screening,If my hearing protection reduced noise more effectively,,,,,Feature that helps me find my earplug if I lose it,,,,,,Option 2,Option 3,"C,A,D,B",A lot,A lot,A lot,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,Do my own research on hearing loss,,,,,,30,marketeer,Master’s degree,Female,"keep it accesible, marketing is very important",60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-30 12:11:43,,2026-01-30 12:34:01,77c98652f8,,
98punjp5epo9ybmskgbxf98punj18bqe,Less than once a month,,,,At music concerts or festivals,,Listening to music,,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,,,(Temporary) hearing loss or muffled hearing,,,,,,€30,€120,Complete,Option 2,Option 2,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,I do not like how it looks,,,,,,,,,Option 2,Option 3,Option 1,,,If my hearing protection reduced noise more effectively,,Better sound quality,,,,,,,More appealing design,,Option 1,Option 1,"D,B,C,A",A lot,Very ,Very ,Somewhat,,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,18,grafisch vormgeving,High school diploma (VMBO / HAVO / VWO),Male,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-30 11:10:11,,2026-01-30 11:20:19,54460dad61,,
0c8b90lbee6d4oh2gr0c8b9qsjzbmtxg,Daily,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,When trying to sleep,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€30,Complete,Option 2,Option 1,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,,,,,,,It is uncomfortable,,,Option 1,Option 2,Option 2,,,,,,More comfort,Easy to clean ('hygiene'),,Reminders via phone/app,,,,,Option 1,Option 1,"D,B,C,A",Somewhat,Very ,Very ,A little,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,32,sales manager,Bachelor’s degree (HBO or WO),Female,snel laden + draadloos opladen,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-30 10:49:16,,2026-01-30 11:05:21,54460dad61,,
65c2ht2poxt9s65cwnjnbay8chbhqwl1,Multiple times a week,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€120,Complete,Option 2,Option 3,Option 3,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,,,,,,,,,luiheid- ik denk er nu wel over na,Option 1,Option 3,Option 2,Current risk of hearing damage,,,Still being able to understand speech,,More comfort,,,,,,,,Option 3,Option 2,"D,B,C,A",Somewhat,Very ,Very ,A lot,Wear hearing protection more often,,Get a hearing test,,,,,,,26,community manager,Vocational education (MBO),Female,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-30 10:32:03,,2026-01-30 10:45:56,54460dad61,,
po4noijomgl5ojkpo4noalpbgrgbx223,Weekly,,,At the cinema or theatre,,,,,,,At work,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€150,€250,Partial,Option 2,Option 1,Option 2,Rarely,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,,,,,,,,,,,,,,,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,Difficulty communicating,,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 2,Option 1,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,More comfort,,,,,,,,Option 2,Option 1,"C,D,B,A",Very ,Not at all,A little,Very ,,,Get a hearing test,,Check again later,,,,,58,diecteur van microlab rotterdam,Bachelor’s degree (HBO or WO),Male,,250.00,275.00,125.00,200.00,0.00,250.00,completed,2026-01-30 10:12:38,,2026-01-30 10:29:24,54460dad61,,
5f3x44ksugcj6y7v3g2sng5f3xffv42v,Weekly,,,,,When playing music (instruments / band / orchestra / DJ),,,,,,,,bruiloften in een zaal,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€90,Complete,Option 2,Option 2,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,,,,,,,,,ik loop gelijk weg bij blootstelling,Option 1,Option 1,Option 2,,,,,Better sound quality,,,,,,,More appealing design,makkelijke distributie,Option 2,Option 1,"C,B,D,A",Very ,Very ,Very ,A lot,,,Get a hearing test,,,,,,,26,project leider,Bachelor’s degree (HBO or WO),Male,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-30 09:42:22,,2026-01-30 10:05:50,ea03cc2814,,
qqeh847qoqcuzllx6qqeh8umntwklbky,Less than once a month,On public transport or on a plane,,,At music concerts or festivals,,,In nightclubs or bars,,,At work,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€120,Complete,Option 2,Option 1,Option 3,Mostly,,Reusable  earplugs,Earmuffs,,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,,,At work (noise exposure),,,,,,,,,,,Not applicable — I always wear hearing protection,Ik wacht wat het met mijn gehoor doet,,,Difficulty communicating,It is uncomfortable,Hygiene concerns,,Pressure in my ears,,,,,,,,,,,,,,,Option 1,Option 3,Option 2,Current risk of hearing damage,,,,,More comfort,Easy to clean ('hygiene'),,,,,,,Option 1,Option 1,"C,B,A,D",Very ,A lot,Very ,Very ,,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,32,Creative consultant,Master’s degree,Female,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-29 21:32:52,,2026-01-29 21:44:51,05ec5e23f5,,
hm1b7pvvi3d3wecmchm1b7pkuskqcuej,Multiple times a month,,,,,,,In nightclubs or bars,,,,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,(Temporary) hearing loss or muffled hearing,,,,,,€30,€90,Complete,Option 2,Option 1,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not own hearing protection,I forget to bring it with me,,,,,,,Option 2,Option 2,Option 2,Current risk of hearing damage,,If my hearing protection reduced noise more effectively,,,More comfort,,,,,,,,Option 1,Option 1,"C,A,D,B",Very ,Very ,A lot,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,26,Student/legal tech jurist,Bachelor’s degree (HBO or WO),Male,Zorg dat je het in een uitzonderlijk snelle tijd uit je broekzak in je oren kunt krijgen (hoe je het kunt vastpakken),90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-29 21:07:58,,2026-01-29 21:23:47,05ec5e23f5,,
41kmu8k38nl82qlw3n2641kmu8gtp9pf,Weekly,,,,,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€120,Complete,Option 2,Option 1,Option 2,Always,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,"At sporting events (e.g. stadium events, motorsports)","When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,,I do not like how it looks,I forget to bring it with me,It affects sounds quality,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,It is uncomfortable,,,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 1,Option 2,Option 2,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,,,,Feature that helps me find my earplug if I lose it,,,,,,Option 1,Option 1,"C,D,A,B",Somewhat,A lot,A lot,Very ,,,Get a hearing test,,,,,,,24,PhD,Master’s degree,Female,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-01-29 15:30:02,,2026-01-29 15:44:30,6f70861fd6,,
5246b8zeo16q3ta145246bvxje6v56hn,Less than once a month,,,,,,Listening to music,In nightclubs or bars,,,,,,In construction,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€30,Complete,Option 2,Option 1,Option 1,Sometimes,Disposable foam earplugs,,,,,,,,,,,,,,,,When trying to sleep,,,,I forget to bring it with me,,,,,,,,,Difficulty communicating,,,,,,,,pressure on my piercing,,,,,,,,,,,Option 2,Option 1,Option 2,,,,Still being able to understand speech,,More comfort,Easy to clean ('hygiene'),,,,,,,Option 3,Option 1,"C,D,B,A",A lot,A little,Somewhat,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,20,public health,High school diploma (VMBO / HAVO / VWO),Female,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-29 13:38:57,,2026-01-29 13:50:35,6a23f3bc5b,,
57hgg5knpz86lu7i5g5rac57hg2cplje,Multiple times a month,,In traffic,,,,Listening to music,In nightclubs or bars,,,,,When trying to sleep,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,(Temporary) hearing loss or muffled hearing,,,,,,€30,€60,Complete,Option 2,Option 1,Option 2,Sometimes,Disposable foam earplugs,,,Noise-cancelling earplugs,,,On public transport or on a plane,,,,,,,,,While trying to focus (e.g. studying),When trying to sleep,,,I do not like how it looks,,,,,,,,,,,,,,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 3,Option 3,Option 3,Current risk of hearing damage,,,Still being able to understand speech,Better sound quality,,,,,,,,,Option 1,Option 3,"C,D,A,B",A little,A lot,Somewhat,A little,,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,20,psychology student,High school diploma (VMBO / HAVO / VWO),Male,promoting is important,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-29 13:21:51,,2026-01-29 13:34:34,6a23f3bc5b,,
dgb9lv739rheydgb9lv1n7dov2iw5g0j,Weekly,,,,,,,In nightclubs or bars,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€60,Complete,Option 1,Option 2,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,never thought about it,Option 2,Option 2,Option 2,,,,,,,Easy to clean ('hygiene'),Feature that helps me find my earplug if I lose it,,,,More appealing design,,Option 1,Option 2,"B,D,C,A",Not at all,A lot,A lot,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,,,,,,20,Nutrition,High school diploma (VMBO / HAVO / VWO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-29 12:52:00,,2026-01-29 13:00:08,6a23f3bc5b,,
1srd4hccg12k51srd98wapw1hprwtbl2,Multiple times a week,On public transport or on a plane,,,,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,Headache,,,,,€30,€60,Complete,Option 2,Option 1,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,,I do not own hearing protection,,,It affects sounds quality,It is bothersome,,,,Option 2,Option 1,Option 1,Current risk of hearing damage,Automatic hearing screening,,,,,,,,,"Personalized design (e.g. initials, colour)",,,Option 1,Option 1,"C,B,A,D",Somewhat,Somewhat,A lot,A lot,Wear hearing protection more often,,Get a hearing test,Do my own research on hearing loss,,,,,,20,"business engineering, on the board",High school diploma (VMBO / HAVO / VWO),Male,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-29 12:34:36,,2026-01-29 12:44:36,3b20ba26a6,,
xft4o4jtrwyofxftoj3yvbbrpfxp7blo,Never,,,,,,Listening to music,,,,,While trying to focus (e.g. studying),,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€60,Complete,Option 1,Option 2,Option 1,Mostly,,,,Noise-cancelling earplugs,,,On public transport or on a plane,,,,,,"At sporting events (e.g. stadium events, motorsports)",,,While trying to focus (e.g. studying),,,,,,,It is inconvenient,,It makes communication more difficult,,,,,,It is uncomfortable,,,,,Sweat or moisture in my ear(s),,pressure on my ears,,,,,,,,,,,Option 1,Option 2,Option 2,Current risk of hearing damage,,If my hearing protection reduced noise more effectively,,,More comfort,,,,,,,,Option 2,Option 2,"B,C,A,D",Very ,Very ,A lot,Somewhat,,,Get a hearing test,,,,,,,19,med student,High school diploma (VMBO / HAVO / VWO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-29 12:24:53,,2026-01-29 12:32:50,3b20ba26a6,,
piodkte1omf2lggn65d5piodkte8uwgv,Multiple times a week,,,,,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,(Temporary) hearing loss or muffled hearing,,,,,,€60,€180,Partial,Option 2,Option 2,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not like how it looks,I do not own hearing protection,,,,,,It makes communication more difficult,,Option 1,Option 1,Option 3,,,,Still being able to understand speech,,,Easy to clean ('hygiene'),Feature that helps me find my earplug if I lose it,,,,,,Option 2,Option 2,"D,C,A,B",Very ,Very ,Somewhat,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,22,neuropsychology,High school diploma (VMBO / HAVO / VWO),Female,communication is most important + good marketing,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-01-29 12:03:43,,2026-01-29 12:17:40,6a23f3bc5b,,
yafgr9xpw8niver77qaiayafgr9xg2br,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,While trying to focus (e.g. studying),When trying to sleep,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 2,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,,,,,It makes communication more difficult,,i would leave,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 1,Option 2,Option 2,,,,Still being able to understand speech,,,Easy to clean ('hygiene'),Feature that helps me find my earplug if I lose it,,,,,,Option 1,Option 2,"D,C,B,A",A lot,Very ,A lot,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,Do my own research on hearing loss,Check again later,,,,,22,med student,High school diploma (VMBO / HAVO / VWO),Female,zorgen dat het genormaliseerd wordt,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-29 10:41:30,,2026-01-29 10:54:39,0bae29ddfe,,
8v6o4om4oh6w8wjtylc18v6o4de7uhku,Weekly,,,At the cinema or theatre,At music concerts or festivals,,Listening to music,In nightclubs or bars,,At sporting events (e.g. motorsports or stadium events),,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€60,€90,Complete,Option 2,Option 2,Option 2,Sometimes,,,,Noise-cancelling earplugs,,,,,,,,,,,At work (noise exposure),While trying to focus (e.g. studying),,,,I do not like how it looks,,,,It is uncomfortable,It makes communication more difficult,,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 3,Option 3,Option 3,Current risk of hearing damage,,,Still being able to understand speech,,,,,,,,More appealing design,,Option 2,Option 3,"D,C,A,B",A little,Not at all,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,19,"air traffic control, manager sportschool",High school diploma (VMBO / HAVO / VWO),Female,uiterlijk maakt het verschil,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-01-29 10:04:45,,2026-01-29 10:20:01,3b20ba26a6,,
kzvxy5hps0i78ahkzvxylq47325f5blq,Multiple times a month,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€150,Complete,Option 3,Option 3,Option 3,Always,Disposable foam earplugs,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,,,,,It makes communication more difficult,,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 3,Option 3,,,If my hearing protection reduced noise more effectively,Still being able to understand speech,Better sound quality,,,,,,,,,Option 3,Option 3,"D,C,A,B",Very ,Somewhat,Very ,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,25,management trainee,Master’s degree,Female,Communication is really important and the quality of sound/music,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-28 19:40:46,,2026-01-28 19:58:19,065d6ab209,,
elok4hwl0wvfk11ibelok4uhs6jj1jw0,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€150,Complete,Option 3,Option 2,Option 3,Mostly,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,I forget to bring it with me,,,,,,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 3,Option 3,Option 3,,,,Still being able to understand speech,Better sound quality,,,,,,,More appealing design,,Option 3,Option 3,"C,D,B,A",A lot,Somewhat,A lot,A little,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,25,"med student, pharmacy",Bachelor’s degree (HBO or WO),Female,het is vervelend als je jezelf hoort zingen - misschien kun je hier iets. aan veranderen,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-27 16:10:37,,2026-01-27 16:22:33,4dbf2f2a8f,,
2wuqvrpjncwjdvrfm2zvvm12wuqvrrv6,Weekly,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,,,,Headache,,,,,€30,€180,Complete,Option 1,Option 2,Option 2,Always,,,,Noise-cancelling earplugs,,,,,,,,,,,,While trying to focus (e.g. studying),,when listening to music,,,I forget to bring it with me,,It is inconvenient,,,,wait to see if to noise goes down,,,Difficulty communicating,It is uncomfortable,,I don’t think I need to wear it all the time,,,,,,,,,,,,,,,,Option 2,Option 3,Option 3,Current risk of hearing damage,,,,,More comfort,,,Reminders via phone/app,,,,,Option 1,Option 1,"C,B,D,A",Very ,Very ,Very ,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,19,biomedical science,High school diploma (VMBO / HAVO / VWO),Female,,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-01-27 15:52:05,,2026-01-27 16:05:29,4dbf2f2a8f,,
dez68hztk0xfvs5rm8wdez6r9afu7s98,Multiple times a month,,,At the cinema or theatre,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€60,Complete,Option 3,Option 2,Option 3,Always,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,,,,,It makes communication more difficult,,,,,,It is uncomfortable,,,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 3,Option 3,,,,Still being able to understand speech,Better sound quality,,,Feature that helps me find my earplug if I lose it,,,,,,Option 2,Option 3,"C,D,A,B",Very ,A lot,Somewhat,A little,,,,,Check again later,,,,,21,"master psychologie, student ass duurzaamheid",Bachelor’s degree (HBO or WO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-27 15:32:01,,2026-01-27 15:44:07,caf2511fc0,,
9zfwjizg4vbs56h03w9zfwjizfwi0n2v,Multiple times a month,On public transport or on a plane,,At the cinema or theatre,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)",,,,,(Temporary) hearing loss or muffled hearing,,,,,,€30,€60,Complete,Option 2,Option 1,Option 3,Rarely,,Reusable  earplugs,,,,,,,,,,In nightclubs or bars,,,,,,,,,I forget to bring it with me,,,,,,,,Itching or irritation in my ears,,It is uncomfortable,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 2,Option 3,Current risk of hearing damage,,,,Better sound quality,,,,,Peer pressure to wear hearing protection,,,,Option 1,Option 1,"C,D,A,B",A little,A little,Somewhat,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,,,,,,23,med student,Bachelor’s degree (HBO or WO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-01-27 15:15:31,,2026-01-27 15:27:25,caf2511fc0,,
gzsuqio777f5pzea96engzsuqio8aeoh,Multiple times a month,,,,,,,In nightclubs or bars,,,,,,parties at home,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€30,Complete,Option 2,Option 2,Option 1,Rarely,,Reusable  earplugs,,,,,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),,,,,,,,,,I forget to bring it with me,,It is inconvenient,,,,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,Current risk of hearing damage,,,,,More comfort,,,Reminders via phone/app,,,,,Option 2,Option 1,"C,B,A,D",A lot,Very ,Very ,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,Check again later,,,,,24,"med student, HAP",Bachelor’s degree (HBO or WO),Female,ik vergeet het vaak. App met reminder,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-01-27 14:39:07,,2026-01-27 14:53:06,caf2511fc0,,
t0g1ouknslm6xamp2t0gjvv30w79jai3,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,At work,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)",,,Feeling of pressure or fullness in the ears,,,Headache,,,,,€30,€150,Complete,Option 2,Option 1,Option 3,Mostly,,,,,Custom-made earplugs,,,,,At music concerts or festivals,,In nightclubs or bars,,,At work (noise exposure),,,,,,I forget to bring it with me,,,,,,,,Itching or irritation in my ears,,,,,,,,,,,,,,,,,,,,Option 3,Option 3,Option 1,,,,Still being able to understand speech,,More comfort,Easy to clean ('hygiene'),,,,,,,Option 3,Option 3,"C,D,B,A",Very ,A lot,A lot,Somewhat,,,Get a hearing test,Do my own research on hearing loss,Check again later,,,,,23,"med student, evenementen hulpverlener",Bachelor’s degree (HBO or WO),Male,compability met portofoon (modificeren dat geluid helder blijft). DIT VERSTERKEN TERWIJL OMGEVINGSGELUID ONDERDRUKT.,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-01-27 13:58:35,,2026-01-27 14:16:25,caf2511fc0,,
